entity,annee,pub_count_publications,pub_sum_Impact_factor,pub_count_Author,pub_sum_author,pub_count_First_Author,pub_sum_first_author,pub_count_Last_Author,pub_sum_last_author,guid_count_publications,guid_sum_Impact_factor,guid_count_Author,guid_sum_author,guid_count_First_Author,guid_sum_first_author,guid_count_Last_Author,guid_sum_last_author,nombre_session_congress,cong_count_chair,cong_count_poster,cong_count_speaker,count_collab_distinct,count_collab,sum_score_collab,pub_count_publications_a-1,pub_sum_Impact_factor_a-1,pub_count_Author_a-1,pub_sum_author_a-1,pub_count_First_Author_a-1,pub_sum_first_author_a-1,pub_count_Last_Author_a-1,pub_sum_last_author_a-1,guid_count_publications_a-1,guid_sum_Impact_factor_a-1,guid_count_Author_a-1,guid_sum_author_a-1,guid_count_First_Author_a-1,guid_sum_first_author_a-1,guid_count_Last_Author_a-1,guid_sum_last_author_a-1,nombre_session_congress_a-1,cong_count_chair_a-1,cong_count_poster_a-1,cong_count_speaker_a-1,count_collab_distinct_a-1,count_collab_a-1,sum_score_collab_a-1,pub_count_publications_a-2,pub_sum_Impact_factor_a-2,pub_count_Author_a-2,pub_sum_author_a-2,pub_count_First_Author_a-2,pub_sum_first_author_a-2,pub_count_Last_Author_a-2,pub_sum_last_author_a-2,guid_count_publications_a-2,guid_sum_Impact_factor_a-2,guid_count_Author_a-2,guid_sum_author_a-2,guid_count_First_Author_a-2,guid_sum_first_author_a-2,guid_count_Last_Author_a-2,guid_sum_last_author_a-2,nombre_session_congress_a-2,cong_count_chair_a-2,cong_count_poster_a-2,cong_count_speaker_a-2,count_collab_distinct_a-2,count_collab_a-2,sum_score_collab_a-2,ranking
Sophon Siwachat,2024-01-01,3,8.8,2,6.7,1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0.455292530828728,1,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.153400324127871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,7,0.619493251863717,9247
Sophon Siwachat,2025-01-01,1,3.5,0,0,1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8.54974324785292e-02,3,8.8,2,6.7,1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0.455292530828728,1,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.153400324127871,9691
Soren Steen Nielsen,2023-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.2,1,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12860
Soren Steen Nielsen,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.2,1,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12581
Soren Steen Nielsen,2025-01-01,4,37.3,4,37.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,62,2.2475384764891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12858
Sorin Saftescu,2023-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,1,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.386515037724772,12860
Sorin Saftescu,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12581
Sorin Saftescu,2025-01-01,3,9.1,3,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0.151223296252099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12064
Sotaro Enatsu,2023-01-01,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.509620410976918,2,0.2,1,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.718043209762701,3,3.2,1,3,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,20,21,4.84717177718887,4996
Sotaro Enatsu,2024-01-01,1,0.1,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.144076006698578,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.509620410976918,2,0.2,1,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.718043209762701,5111
